% visibilidad del sol,nro minuto,nro mes,temperatura
0.81,838.0,12.0,25.0
0.93,627.0,3.0,22.0
0.75,637.0,5.0,23.0
0.15,1349.0,10.0,4.0
0.21,191.0,12.0,10.0
0.68,832.0,10.0,25.0
0.99,621.0,10.0,22.0
0.6,955.0,11.0,13.0
0.73,985.0,10.0,18.0
0.37,1432.0,1.0,2.0
0.81,541.0,12.0,20.0
0.61,929.0,10.0,13.0
0.79,1000.0,11.0,20.0
0.36,1154.0,1.0,1.0
0.67,878.0,2.0,27.0
0.28,417.0,1.0,7.0
0.63,957.0,11.0,16.0
0.1,49.0,1.0,9.0
0.69,699.0,3.0,28.0
0.11,221.0,9.0,1.0
0.57,615.0,5.0,28.0
0.77,890.0,10.0,15.0
0.4,975.0,2.0,15.0
0.54,662.0,12.0,21.0
0.78,800.0,10.0,25.0
0.93,662.0,12.0,30.0
0.88,820.0,6.0,30.0
0.82,562.0,11.0,29.0
0.68,666.0,11.0,21.0
0.43,939.0,10.0,13.0
0.9,803.0,11.0,24.0
0.63,949.0,11.0,14.0
0.84,563.0,2.0,23.0
0.17,1408.0,1.0,1.0
0.79,609.0,4.0,20.0
0.66,727.0,3.0,20.0
0.87,590.0,4.0,30.0
0.54,597.0,4.0,27.0
0.06,1087.0,8.0,3.0
0.64,897.0,11.0,11.0
0.53,663.0,12.0,30.0
0.2,1081.0,12.0,5.0
0.14,278.0,1.0,8.0
0.58,828.0,10.0,24.0
0.76,649.0,5.0,20.0
0.4,357.0,1.0,0.0
0.6,816.0,11.0,28.0
0.57,859.0,11.0,19.0
0.98,550.0,12.0,21.0
0.47,885.0,12.0,16.0
0.18,1184.0,11.0,3.0
0.56,632.0,2.0,22.0
0.42,894.0,11.0,15.0
0.74,792.0,10.0,21.0
0.21,290.0,12.0,0.0
0.09,325.0,1.0,7.0
0.72,814.0,3.0,22.0
0.61,1018.0,4.0,12.0
0.11,1121.0,11.0,1.0
0.73,773.0,11.0,23.0
0.3,1280.0,1.0,0.0
0.68,929.0,12.0,10.0
0.75,619.0,2.0,26.0
0.0,1161.0,1.0,1.0
0.64,1072.0,6.0,15.0
0.67,924.0,4.0,12.0
0.52,959.0,3.0,15.0
0.87,647.0,5.0,28.0
0.62,984.0,12.0,12.0
0.56,1063.0,11.0,12.0
0.0,1334.0,1.0,2.0
0.75,541.0,11.0,28.0
0.73,999.0,2.0,17.0
0.52,681.0,4.0,30.0
0.59,886.0,12.0,13.0
0.01,90.0,1.0,3.0
0.56,820.0,4.0,28.0
0.44,977.0,11.0,19.0
0.7,669.0,11.0,22.0
0.25,175.0,9.0,7.0
0.8,841.0,4.0,10.0
0.71,1055.0,3.0,14.0
0.21,138.0,1.0,10.0
0.33,1128.0,1.0,4.0
0.74,834.0,10.0,29.0
0.58,884.0,10.0,20.0
0.45,1045.0,2.0,10.0
0.38,438.0,1.0,0.0
0.54,885.0,10.0,25.0
0.61,687.0,4.0,26.0
0.98,635.0,3.0,23.0
0.66,888.0,3.0,23.0
0.16,132.0,1.0,3.0
0.56,877.0,6.0,20.0
0.1,1272.0,7.0,8.0
0.84,771.0,10.0,29.0
0.6,888.0,10.0,17.0
0.52,827.0,11.0,29.0
0.96,637.0,2.0,24.0
0.8,888.0,6.0,25.0
0.55,580.0,3.0,21.0
0.53,881.0,12.0,13.0
0.03,1363.0,8.0,8.0
0.31,1241.0,1.0,10.0
0.78,888.0,11.0,20.0
0.66,876.0,4.0,23.0
0.67,880.0,5.0,16.0
0.23,1306.0,12.0,3.0
0.02,6.0,8.0,3.0
0.73,875.0,6.0,17.0
0.66,932.0,6.0,10.0
0.66,861.0,5.0,22.0
0.18,1115.0,11.0,7.0
0.26,200.0,1.0,10.0
0.5,612.0,12.0,23.0
0.96,625.0,12.0,24.0
0.92,736.0,5.0,27.0
0.66,929.0,4.0,10.0
0.81,684.0,12.0,20.0
0.23,20.0,1.0,3.0
0.31,321.0,10.0,7.0
0.32,229.0,1.0,10.0
0.19,1320.0,8.0,8.0
0.93,639.0,10.0,25.0
0.88,885.0,5.0,28.0
0.58,974.0,3.0,11.0
0.73,852.0,12.0,26.0
0.07,1400.0,8.0,9.0
0.93,638.0,3.0,30.0
0.06,361.0,10.0,3.0
0.95,889.0,12.0,23.0
0.32,474.0,1.0,0.0
0.53,900.0,12.0,13.0
0.37,1089.0,1.0,5.0
0.33,430.0,7.0,3.0
0.8,988.0,12.0,10.0
0.67,844.0,11.0,30.0
0.75,1067.0,3.0,10.0
0.28,493.0,1.0,4.0
0.3,418.0,8.0,2.0
0.17,230.0,1.0,2.0
0.64,849.0,5.0,20.0
0.67,651.0,6.0,29.0
0.73,567.0,11.0,25.0
0.09,1420.0,10.0,5.0
0.14,1303.0,11.0,9.0
0.64,992.0,4.0,11.0
0.36,1235.0,10.0,9.0
0.67,719.0,4.0,27.0
0.52,544.0,5.0,22.0
0.72,564.0,3.0,22.0
0.28,100.0,1.0,7.0
0.38,1126.0,9.0,10.0
0.5,854.0,10.0,19.0
0.85,560.0,12.0,21.0
0.73,859.0,11.0,30.0
0.5,802.0,10.0,22.0
0.56,565.0,5.0,29.0
0.06,1087.0,1.0,10.0
0.79,1066.0,5.0,15.0
0.01,1369.0,1.0,7.0
0.49,1042.0,12.0,20.0
0.22,309.0,8.0,5.0
0.8,809.0,10.0,26.0
0.35,1255.0,12.0,1.0
0.28,284.0,10.0,8.0
0.05,1392.0,10.0,6.0
0.36,1165.0,8.0,3.0
0.68,886.0,4.0,30.0
0.83,716.0,11.0,24.0
0.37,255.0,1.0,8.0
0.17,27.0,1.0,4.0
0.9,728.0,10.0,30.0
0.76,928.0,12.0,17.0
0.7,859.0,3.0,17.0
0.55,613.0,6.0,24.0
0.27,1347.0,10.0,4.0
0.99,885.0,10.0,26.0
0.75,949.0,12.0,20.0
0.69,963.0,11.0,18.0
0.74,969.0,12.0,11.0
0.69,1060.0,11.0,18.0
0.75,601.0,6.0,30.0
0.8,1033.0,10.0,16.0
0.86,785.0,11.0,27.0
0.22,1402.0,9.0,9.0
0.52,884.0,2.0,13.0
0.61,1006.0,3.0,20.0
0.79,564.0,2.0,30.0
0.98,806.0,4.0,23.0
0.26,322.0,7.0,8.0
0.88,789.0,12.0,20.0
0.52,634.0,11.0,20.0
0.64,847.0,12.0,27.0
0.63,762.0,12.0,21.0
0.51,750.0,11.0,22.0
0.92,679.0,11.0,27.0
0.95,885.0,2.0,28.0
0.98,844.0,11.0,24.0
0.73,1007.0,3.0,16.0
0.59,866.0,4.0,12.0
0.12,1277.0,1.0,3.0
0.19,1368.0,1.0,9.0
0.66,544.0,5.0,23.0
0.6,543.0,2.0,20.0
0.49,976.0,12.0,11.0
0.69,847.0,4.0,14.0
0.82,571.0,12.0,21.0
0.5,958.0,12.0,20.0
0.84,859.0,5.0,21.0
0.49,913.0,12.0,13.0
0.71,960.0,3.0,16.0
0.92,633.0,12.0,21.0
0.6,646.0,12.0,25.0
0.87,827.0,12.0,29.0
0.06,113.0,1.0,9.0
0.77,593.0,12.0,23.0
0.57,987.0,12.0,19.0
0.23,498.0,9.0,0.0
0.29,335.0,7.0,0.0
0.26,20.0,1.0,10.0
0.93,622.0,5.0,27.0
0.4,842.0,4.0,10.0
0.91,835.0,11.0,24.0
0.0,326.0,10.0,3.0
0.94,550.0,10.0,26.0
0.59,618.0,2.0,23.0
0.58,585.0,6.0,21.0
0.97,616.0,11.0,25.0
0.41,1078.0,10.0,10.0
0.03,1232.0,1.0,2.0
0.96,766.0,12.0,21.0
0.68,547.0,11.0,26.0
0.51,991.0,10.0,19.0
0.14,1406.0,10.0,8.0
0.8,1039.0,5.0,20.0
0.86,761.0,5.0,30.0
0.01,1286.0,10.0,1.0
0.72,782.0,10.0,22.0
0.58,857.0,6.0,17.0
0.15,259.0,10.0,1.0
0.5,616.0,10.0,25.0
0.5,986.0,3.0,10.0
0.04,1180.0,11.0,0.0
0.87,718.0,12.0,21.0
0.63,941.0,11.0,11.0
0.19,133.0,11.0,4.0
0.72,783.0,11.0,28.0
0.59,1020.0,11.0,12.0
0.24,8.0,11.0,3.0
0.24,504.0,11.0,5.0
0.03,1092.0,11.0,3.0
0.21,1236.0,7.0,6.0
0.52,556.0,10.0,27.0
0.64,817.0,4.0,25.0
0.54,901.0,6.0,17.0
0.96,862.0,11.0,21.0
0.6,870.0,10.0,15.0
0.88,717.0,10.0,27.0
0.55,606.0,11.0,21.0
0.93,819.0,4.0,30.0
0.48,938.0,10.0,15.0
0.51,989.0,3.0,10.0
0.7,574.0,5.0,28.0
0.24,148.0,12.0,10.0
0.33,1383.0,1.0,2.0
0.77,604.0,11.0,23.0
0.64,943.0,5.0,20.0
0.63,1020.0,11.0,18.0
0.6,928.0,5.0,17.0
0.88,665.0,5.0,30.0
0.79,941.0,10.0,10.0
0.54,1061.0,5.0,14.0
0.78,952.0,3.0,19.0
0.33,1216.0,1.0,6.0
0.64,862.0,3.0,14.0
0.51,717.0,6.0,20.0
0.62,851.0,12.0,15.0
0.65,588.0,3.0,24.0
0.15,278.0,1.0,3.0
0.59,1044.0,11.0,13.0
0.86,650.0,5.0,20.0
0.57,558.0,12.0,26.0
1.0,755.0,3.0,30.0
0.42,1019.0,12.0,10.0
0.01,1377.0,12.0,7.0
0.03,428.0,8.0,4.0
0.81,804.0,6.0,20.0
0.08,341.0,1.0,9.0
0.72,668.0,6.0,30.0
0.53,961.0,12.0,11.0
0.38,364.0,8.0,1.0
0.67,1039.0,2.0,18.0
0.75,873.0,12.0,21.0
0.46,1043.0,5.0,11.0
0.1,146.0,12.0,6.0
0.03,332.0,11.0,0.0
0.5,728.0,11.0,25.0
0.36,389.0,1.0,9.0
0.55,626.0,10.0,20.0
0.68,703.0,11.0,29.0
0.16,1329.0,1.0,7.0
0.13,211.0,1.0,5.0
0.69,865.0,10.0,27.0
0.66,692.0,11.0,20.0
0.69,888.0,3.0,20.0
0.28,138.0,1.0,8.0
0.73,1074.0,12.0,13.0
0.88,722.0,11.0,22.0
0.85,678.0,2.0,30.0
0.72,869.0,2.0,29.0
0.13,88.0,1.0,5.0
0.72,865.0,3.0,12.0
0.34,296.0,1.0,8.0
0.45,916.0,4.0,16.0
0.92,814.0,5.0,23.0
0.77,845.0,11.0,16.0
0.07,482.0,1.0,0.0
0.3,1408.0,10.0,6.0
0.36,348.0,1.0,6.0
0.23,24.0,11.0,2.0
0.14,382.0,11.0,5.0
0.25,336.0,10.0,1.0
0.09,1192.0,1.0,0.0
0.45,992.0,2.0,11.0
0.8,962.0,11.0,16.0
0.31,1329.0,1.0,10.0
0.5,568.0,3.0,23.0
0.58,761.0,10.0,30.0
0.77,817.0,10.0,25.0
0.31,499.0,1.0,9.0
0.68,989.0,12.0,16.0
0.8,640.0,10.0,26.0
0.98,548.0,6.0,27.0
0.79,879.0,12.0,13.0
0.67,1013.0,6.0,11.0
0.29,539.0,11.0,8.0
0.06,1368.0,10.0,0.0
0.75,952.0,10.0,13.0
0.38,338.0,11.0,4.0
0.45,937.0,12.0,18.0
0.56,637.0,10.0,27.0
0.28,1134.0,7.0,10.0
0.35,1250.0,1.0,3.0
0.14,508.0,8.0,8.0
0.47,952.0,5.0,11.0
0.29,203.0,1.0,1.0
0.94,579.0,4.0,27.0
0.85,582.0,12.0,21.0
0.55,542.0,12.0,21.0
0.58,764.0,4.0,21.0
0.11,1412.0,1.0,9.0
0.4,1271.0,1.0,5.0
0.27,1244.0,1.0,0.0
0.15,1313.0,9.0,3.0
0.13,125.0,1.0,10.0
0.05,1115.0,7.0,4.0
0.68,1027.0,12.0,14.0
0.71,848.0,6.0,15.0
0.82,885.0,5.0,21.0
0.58,758.0,11.0,30.0
0.71,1054.0,3.0,11.0
0.69,730.0,11.0,29.0
0.09,1198.0,1.0,7.0
0.59,961.0,12.0,11.0
0.26,499.0,1.0,8.0
0.52,559.0,12.0,20.0
0.0,463.0,1.0,3.0
0.4,873.0,5.0,16.0
0.14,1346.0,10.0,10.0
0.37,400.0,1.0,1.0
0.19,1302.0,7.0,6.0
0.36,31.0,8.0,7.0
0.14,416.0,8.0,5.0
0.52,964.0,5.0,20.0
0.77,815.0,5.0,26.0
0.76,598.0,11.0,20.0
0.85,694.0,3.0,28.0
0.17,1188.0,1.0,8.0
0.73,872.0,10.0,14.0
0.83,842.0,5.0,25.0
0.75,1048.0,12.0,11.0
0.54,1031.0,3.0,11.0
0.63,1017.0,6.0,13.0
0.04,276.0,1.0,10.0
0.67,1060.0,4.0,18.0
0.45,941.0,5.0,16.0
0.56,797.0,3.0,24.0
0.4,883.0,6.0,17.0
0.94,763.0,2.0,20.0
0.59,894.0,4.0,18.0
0.34,1132.0,9.0,6.0
0.32,1350.0,1.0,7.0
0.84,789.0,6.0,23.0
0.41,936.0,11.0,10.0
0.19,263.0,10.0,4.0
0.0,1420.0,7.0,9.0
0.97,549.0,10.0,23.0
0.75,1048.0,12.0,10.0
0.54,636.0,4.0,24.0
0.79,789.0,10.0,24.0
0.96,630.0,12.0,29.0
0.09,279.0,1.0,4.0
0.61,815.0,10.0,30.0
0.96,772.0,10.0,22.0
0.24,1423.0,1.0,0.0
0.17,321.0,11.0,5.0
0.65,816.0,11.0,20.0
0.78,674.0,12.0,23.0
0.5,619.0,10.0,30.0
0.58,888.0,6.0,27.0
0.02,322.0,8.0,3.0
0.65,798.0,12.0,25.0
0.0,1252.0,7.0,9.0
0.87,764.0,2.0,26.0
0.15,1323.0,8.0,4.0
0.69,860.0,11.0,24.0
0.79,638.0,3.0,23.0
0.52,966.0,12.0,12.0
0.63,898.0,11.0,18.0
0.11,1372.0,1.0,5.0
0.5,1020.0,5.0,17.0
0.04,1203.0,1.0,3.0
0.11,1407.0,8.0,8.0
0.45,1074.0,10.0,10.0
0.98,617.0,6.0,30.0
0.71,755.0,3.0,24.0
0.19,1162.0,1.0,2.0
0.75,681.0,3.0,20.0
0.62,696.0,2.0,20.0
0.07,1099.0,1.0,4.0
0.53,871.0,10.0,22.0
0.37,1245.0,1.0,3.0
0.51,855.0,4.0,16.0
0.17,1268.0,7.0,10.0
0.65,950.0,12.0,16.0
0.79,735.0,4.0,21.0
0.72,607.0,10.0,21.0
0.9,595.0,3.0,25.0
0.79,1075.0,12.0,15.0
1.0,882.0,6.0,29.0
0.51,782.0,10.0,28.0
0.05,1363.0,1.0,2.0
0.88,799.0,11.0,25.0
0.67,1015.0,4.0,14.0
0.62,859.0,3.0,17.0
0.73,761.0,2.0,28.0
0.77,988.0,6.0,16.0
0.08,1328.0,9.0,5.0
0.99,776.0,4.0,25.0
0.14,20.0,1.0,6.0
0.2,1345.0,1.0,1.0
0.51,852.0,6.0,20.0
0.47,902.0,12.0,11.0
0.54,1079.0,3.0,18.0
0.81,677.0,6.0,28.0
0.53,889.0,10.0,23.0
0.18,1153.0,1.0,0.0
0.57,651.0,12.0,21.0
0.66,862.0,12.0,30.0
0.12,1133.0,1.0,9.0
0.6,992.0,3.0,14.0
0.9,578.0,10.0,22.0
0.67,729.0,10.0,24.0
0.1,80.0,1.0,0.0
0.43,849.0,12.0,13.0
0.57,882.0,11.0,10.0
0.59,594.0,11.0,30.0
0.43,1035.0,4.0,10.0
0.54,614.0,3.0,27.0
0.01,1297.0,12.0,8.0
0.45,871.0,12.0,13.0
0.51,850.0,12.0,20.0
0.71,820.0,6.0,28.0
0.28,1119.0,1.0,3.0
0.77,855.0,10.0,20.0
0.53,885.0,12.0,20.0
0.71,777.0,12.0,22.0
0.06,1202.0,7.0,10.0
0.11,1416.0,1.0,7.0
0.93,700.0,11.0,27.0
0.62,761.0,12.0,24.0
0.76,851.0,10.0,30.0
0.06,1336.0,7.0,2.0
0.89,662.0,6.0,29.0
0.65,930.0,11.0,19.0
0.94,616.0,6.0,28.0
0.56,951.0,12.0,20.0
0.67,946.0,6.0,20.0
0.71,540.0,11.0,21.0
0.75,853.0,5.0,26.0
0.51,729.0,3.0,25.0
0.74,891.0,5.0,30.0
0.85,797.0,4.0,28.0
0.18,490.0,7.0,4.0
0.73,848.0,11.0,11.0
0.65,1027.0,5.0,12.0
0.52,578.0,10.0,28.0
0.33,1324.0,9.0,0.0
0.05,1084.0,12.0,7.0
0.93,622.0,2.0,25.0
0.53,1009.0,10.0,10.0
0.8,885.0,10.0,19.0
0.63,1021.0,3.0,10.0
0.31,96.0,1.0,5.0
0.5,880.0,12.0,25.0
0.98,770.0,5.0,26.0
0.77,879.0,12.0,25.0
0.01,1241.0,1.0,7.0
0.38,260.0,8.0,9.0
0.87,860.0,3.0,30.0
0.67,863.0,5.0,20.0
0.01,1365.0,1.0,6.0
0.68,984.0,3.0,10.0
0.38,1293.0,1.0,3.0
0.8,720.0,6.0,23.0
0.5,836.0,10.0,30.0
0.9,742.0,6.0,28.0
0.4,1054.0,11.0,10.0
0.76,1045.0,5.0,15.0
0.74,944.0,10.0,10.0
0.75,987.0,11.0,11.0
0.12,348.0,1.0,9.0
0.45,937.0,4.0,18.0
0.83,704.0,6.0,26.0
0.73,1003.0,2.0,17.0
0.5,941.0,4.0,12.0
0.8,880.0,4.0,19.0
0.83,766.0,10.0,29.0
0.54,691.0,11.0,29.0
0.55,844.0,4.0,15.0
0.55,1052.0,11.0,15.0
0.72,712.0,11.0,20.0
0.98,884.0,2.0,26.0
0.83,829.0,6.0,29.0
0.16,1394.0,7.0,9.0
0.57,853.0,6.0,19.0
0.53,969.0,10.0,14.0
0.17,1375.0,10.0,4.0
0.37,1274.0,1.0,5.0
0.43,964.0,10.0,15.0
0.56,568.0,11.0,22.0
0.66,1028.0,4.0,15.0
0.83,634.0,12.0,24.0
0.78,712.0,5.0,22.0
0.66,663.0,4.0,28.0
0.76,567.0,11.0,28.0
0.44,976.0,10.0,15.0
0.67,854.0,10.0,25.0
0.57,556.0,12.0,30.0
0.33,41.0,1.0,8.0
0.77,1056.0,11.0,13.0
0.72,925.0,11.0,20.0
0.34,412.0,11.0,7.0
0.5,554.0,5.0,26.0
0.46,970.0,3.0,16.0
0.2,478.0,12.0,2.0
0.52,1039.0,11.0,17.0
0.43,872.0,12.0,13.0
0.37,1279.0,1.0,2.0
0.0,518.0,10.0,4.0
0.84,796.0,5.0,23.0
0.19,1204.0,1.0,0.0
0.29,1355.0,12.0,4.0
0.13,155.0,12.0,10.0
0.72,764.0,12.0,27.0
0.41,1021.0,11.0,17.0
0.7,730.0,3.0,23.0
0.65,894.0,6.0,11.0
0.31,1170.0,9.0,2.0
0.55,656.0,11.0,29.0
0.13,290.0,1.0,5.0
0.66,812.0,10.0,28.0
0.36,1227.0,1.0,10.0
0.53,946.0,12.0,19.0
0.51,752.0,6.0,29.0
0.87,683.0,6.0,27.0
0.84,883.0,11.0,21.0
0.04,308.0,11.0,7.0
0.41,906.0,6.0,11.0
0.28,1130.0,7.0,6.0
0.39,1184.0,1.0,4.0
0.68,1031.0,6.0,17.0
0.17,1433.0,1.0,6.0
0.6,1029.0,12.0,18.0
0.69,874.0,5.0,11.0
0.52,929.0,12.0,16.0
0.88,868.0,3.0,20.0
0.76,798.0,6.0,29.0
0.06,1108.0,1.0,0.0
0.89,854.0,4.0,27.0
0.22,22.0,12.0,4.0
0.82,585.0,3.0,27.0
0.56,668.0,3.0,25.0
0.09,1188.0,1.0,3.0
0.46,920.0,2.0,19.0
0.74,702.0,6.0,28.0
0.68,936.0,10.0,10.0
0.59,860.0,12.0,22.0
0.56,855.0,2.0,19.0
0.84,765.0,5.0,26.0
0.43,956.0,10.0,10.0
0.13,231.0,10.0,3.0
0.64,1073.0,6.0,16.0
0.1,456.0,1.0,2.0
0.03,1143.0,7.0,8.0
0.93,619.0,11.0,27.0
0.62,936.0,6.0,14.0
0.95,713.0,5.0,29.0
0.61,999.0,5.0,18.0
0.5,1012.0,6.0,14.0
0.77,620.0,4.0,26.0
0.51,970.0,6.0,16.0
0.53,649.0,11.0,30.0
0.73,945.0,6.0,19.0
0.94,550.0,11.0,30.0
0.31,263.0,10.0,5.0
0.44,1041.0,2.0,18.0
0.47,986.0,2.0,12.0
0.47,1000.0,3.0,10.0
0.73,1036.0,6.0,16.0
0.35,178.0,12.0,4.0
0.74,939.0,11.0,16.0
0.94,789.0,2.0,27.0
0.39,1367.0,1.0,2.0
0.96,798.0,5.0,24.0
0.95,793.0,2.0,20.0
0.55,1053.0,11.0,17.0
0.51,738.0,6.0,26.0
0.4,853.0,10.0,11.0
0.79,895.0,11.0,18.0
0.72,632.0,3.0,24.0
0.26,1084.0,12.0,5.0
0.2,342.0,7.0,8.0
0.31,305.0,1.0,4.0
0.56,844.0,12.0,27.0
0.59,599.0,3.0,20.0
1.0,898.0,10.0,21.0
0.62,1017.0,4.0,15.0
0.43,873.0,10.0,16.0
0.32,53.0,1.0,10.0
0.5,917.0,12.0,20.0
0.76,1050.0,5.0,11.0
0.33,322.0,12.0,5.0
0.79,628.0,3.0,24.0
0.19,264.0,1.0,3.0
0.53,663.0,11.0,25.0
0.1,1425.0,12.0,10.0
0.43,1076.0,11.0,19.0
0.58,629.0,3.0,23.0
0.62,847.0,6.0,20.0
0.72,714.0,2.0,24.0
0.98,790.0,4.0,23.0
0.74,749.0,5.0,23.0
0.59,641.0,10.0,26.0
0.66,1006.0,6.0,10.0
0.34,1129.0,11.0,5.0
0.02,261.0,7.0,9.0
0.4,1136.0,7.0,0.0
0.33,1319.0,1.0,4.0
0.77,898.0,10.0,12.0
0.51,727.0,5.0,20.0
0.13,265.0,12.0,9.0
0.69,834.0,4.0,22.0
0.47,840.0,4.0,14.0
0.45,874.0,12.0,17.0
0.32,1270.0,1.0,4.0
0.06,1110.0,10.0,2.0
0.28,1324.0,8.0,6.0
0.33,5.0,1.0,9.0
0.97,635.0,12.0,22.0
0.52,884.0,11.0,16.0
0.02,120.0,12.0,2.0
0.44,1019.0,3.0,11.0
0.35,1133.0,1.0,9.0
0.63,819.0,6.0,28.0
0.69,1056.0,12.0,13.0
0.58,861.0,6.0,20.0
0.56,954.0,6.0,19.0
0.24,491.0,1.0,9.0
0.28,58.0,7.0,8.0
0.8,1073.0,6.0,13.0
0.35,466.0,1.0,4.0
0.12,1171.0,1.0,3.0
0.45,899.0,4.0,18.0
0.11,352.0,1.0,2.0
0.46,1034.0,5.0,11.0
0.99,620.0,2.0,30.0
0.59,603.0,6.0,26.0
0.06,1425.0,12.0,1.0
0.6,544.0,11.0,23.0
0.69,1057.0,12.0,16.0
0.07,1246.0,1.0,6.0
0.4,960.0,3.0,16.0
0.16,1299.0,10.0,6.0
0.87,851.0,10.0,20.0
0.25,220.0,7.0,9.0
0.68,1034.0,4.0,18.0
0.71,872.0,12.0,21.0
0.85,857.0,4.0,22.0
0.79,638.0,12.0,24.0
0.68,897.0,5.0,30.0
0.43,941.0,6.0,10.0
0.58,704.0,3.0,28.0
0.29,390.0,10.0,4.0
0.19,540.0,1.0,1.0
0.54,836.0,10.0,26.0
0.71,976.0,2.0,17.0
0.77,710.0,5.0,21.0
0.54,969.0,3.0,15.0
0.66,893.0,12.0,21.0
0.54,814.0,10.0,29.0
0.4,1073.0,10.0,13.0
0.0,111.0,1.0,4.0
0.38,124.0,12.0,7.0
0.59,885.0,3.0,16.0
0.66,918.0,12.0,15.0
0.71,840.0,10.0,13.0
0.04,353.0,12.0,0.0
0.22,505.0,9.0,10.0
0.67,884.0,11.0,30.0
0.98,680.0,2.0,27.0
0.05,361.0,8.0,3.0
0.95,635.0,4.0,24.0
0.58,635.0,10.0,24.0
0.53,1041.0,11.0,20.0
0.82,560.0,5.0,23.0
0.28,228.0,1.0,1.0
0.21,216.0,1.0,8.0
0.88,764.0,11.0,22.0
0.55,893.0,10.0,27.0
0.05,1252.0,8.0,6.0
